Date,Channel,Campaign,Visitors,Leads,MQLs,SQLs,Customers,Spend (USD),Revenue (USD)
2025-01-01,Direct,Direct/Brand,214,14,9,3,2,0.0,3255.77
2025-01-01,Email,Drip Nurture,91,18,14,10,4,1.6,7044.07
2025-01-01,Email,Newsletter,140,15,8,5,2,2.51,1901.15
2025-01-01,Organic Search,Blog SEO,364,9,5,2,0,18.73,0.0
2025-01-01,Organic Search,Product Pages SEO,209,22,8,6,2,10.53,2304.98
2025-01-01,Paid Search,Brand Keywords,137,14,6,3,2,244.07,2951.84
2025-01-01,Paid Search,Competitor Keywords,87,7,3,0,0,268.96,0.0
2025-01-01,Paid Search,Generic Keywords,263,16,6,3,2,637.07,2866.3
2025-01-01,Paid Social,Facebook Prospecting,486,20,5,1,0,352.11,0.0
2025-01-01,Paid Social,Instagram Prospecting,337,8,1,0,0,224.23,0.0
2025-01-01,Paid Social,LinkedIn ABM,91,7,5,4,1,381.94,3324.89
2025-01-01,Referral,Customer Referral Program,52,10,4,3,1,14.99,1874.35
2025-01-01,Referral,Partner Program,29,4,2,1,0,14.71,0.0
2025-01-02,Direct,Direct/Brand,209,11,4,2,0,0.0,0.0
2025-01-02,Email,Drip Nurture,113,20,10,7,0,2.46,0.0
2025-01-02,Email,Newsletter,142,8,3,2,1,3.0,1338.44
2025-01-02,Organic Search,Blog SEO,343,20,14,5,0,15.85,0.0
2025-01-02,Organic Search,Product Pages SEO,209,18,9,6,1,10.48,1999.79
2025-01-02,Paid Search,Brand Keywords,97,16,10,4,2,187.82,3604.12
2025-01-02,Paid Search,Competitor Keywords,63,6,0,0,0,229.77,0.0
2025-01-02,Paid Search,Generic Keywords,233,15,6,3,0,577.65,0.0
2025-01-02,Paid Social,Facebook Prospecting,459,5,1,0,0,293.23,0.0
2025-01-02,Paid Social,Instagram Prospecting,288,10,3,1,0,198.79,0.0
2025-01-02,Paid Social,LinkedIn ABM,79,6,3,1,1,364.51,1917.61
2025-01-02,Referral,Customer Referral Program,39,6,6,5,4,11.34,7108.72
2025-01-02,Referral,Partner Program,39,9,5,2,2,20.84,4935.54
2025-01-03,Direct,Direct/Brand,196,8,3,1,1,0.0,1146.39
2025-01-03,Email,Drip Nurture,98,9,4,3,0,1.79,0.0
2025-01-03,Email,Newsletter,179,12,6,4,4,3.7,4205.85
2025-01-03,Organic Search,Blog SEO,355,16,8,3,0,17.72,0.0
2025-01-03,Organic Search,Product Pages SEO,234,14,2,2,0,11.46,0.0
2025-01-03,Paid Search,Brand Keywords,125,18,11,4,3,224.42,4892.88
2025-01-03,Paid Search,Competitor Keywords,91,8,1,0,0,272.82,0.0
2025-01-03,Paid Search,Generic Keywords,261,18,5,2,0,719.3,0.0
2025-01-03,Paid Social,Facebook Prospecting,433,15,2,1,1,281.8,1347.27
2025-01-03,Paid Social,Instagram Prospecting,328,8,3,2,0,230.27,0.0
2025-01-03,Paid Social,LinkedIn ABM,74,7,0,0,0,327.94,0.0
2025-01-03,Referral,Customer Referral Program,52,5,3,1,1,15.99,2320.82
2025-01-03,Referral,Partner Program,51,11,4,2,1,25.5,1612.42
2025-01-04,Direct,Direct/Brand,93,1,1,0,0,0.0,0.0
2025-01-04,Email,Drip Nurture,53,10,9,6,2,1.03,2956.06
2025-01-04,Email,Newsletter,77,6,5,2,0,1.43,0.0
2025-01-04,Organic Search,Blog SEO,180,12,3,2,0,8.65,0.0
2025-01-04,Organic Search,Product Pages SEO,97,11,4,2,0,4.89,0.0
2025-01-04,Paid Search,Brand Keywords,66,7,5,3,2,115.1,3500.62
2025-01-04,Paid Search,Competitor Keywords,56,5,3,2,0,178.02,0.0
2025-01-04,Paid Search,Generic Keywords,122,12,4,2,0,324.24,0.0
2025-01-04,Paid Social,Facebook Prospecting,383,14,6,3,1,242.43,884.93
2025-01-04,Paid Social,Instagram Prospecting,287,12,2,2,0,198.22,0.0
2025-01-04,Paid Social,LinkedIn ABM,73,7,5,3,0,317.35,0.0
2025-01-04,Referral,Customer Referral Program,43,5,3,3,1,13.12,2059.2
2025-01-04,Referral,Partner Program,15,3,2,2,0,7.31,0.0
2025-01-05,Direct,Direct/Brand,129,2,0,0,0,0.0,0.0
2025-01-05,Email,Drip Nurture,62,10,7,5,2,1.25,3327.54
2025-01-05,Email,Newsletter,77,8,6,3,1,1.52,1127.32
2025-01-05,Organic Search,Blog SEO,200,10,8,4,1,10.12,1349.23
2025-01-05,Organic Search,Product Pages SEO,119,8,1,0,0,6.76,0.0
2025-01-05,Paid Search,Brand Keywords,68,8,5,2,0,125.58,0.0
2025-01-05,Paid Search,Competitor Keywords,49,4,3,2,0,163.12,0.0
2025-01-05,Paid Search,Generic Keywords,140,7,5,4,0,389.91,0.0
2025-01-05,Paid Social,Facebook Prospecting,413,17,7,3,1,286.61,947.03
2025-01-05,Paid Social,Instagram Prospecting,283,7,0,0,0,195.52,0.0
2025-01-05,Paid Social,LinkedIn ABM,71,4,2,2,1,315.96,2809.48
2025-01-05,Referral,Customer Referral Program,20,4,4,2,1,6.18,1520.97
2025-01-05,Referral,Partner Program,14,4,4,1,0,6.78,0.0
2025-01-06,Direct,Direct/Brand,190,7,4,3,1,0.0,1564.05
2025-01-06,Email,Drip Nurture,80,9,5,3,0,1.56,0.0
2025-01-06,Email,Newsletter,151,9,5,4,0,3.04,0.0
2025-01-06,Organic Search,Blog SEO,335,14,7,5,3,16.28,4286.52
2025-01-06,Organic Search,Product Pages SEO,189,12,6,4,1,9.56,1287.33
2025-01-06,Paid Search,Brand Keywords,124,19,9,6,3,244.47,4188.39
2025-01-06,Paid Search,Competitor Keywords,74,6,1,1,0,228.02,0.0
2025-01-06,Paid Search,Generic Keywords,242,10,4,1,0,654.44,0.0
2025-01-06,Paid Social,Facebook Prospecting,444,14,7,3,0,264.43,0.0
2025-01-06,Paid Social,Instagram Prospecting,311,6,2,1,0,219.29,0.0
2025-01-06,Paid Social,LinkedIn ABM,74,4,2,2,0,298.04,0.0
2025-01-06,Referral,Customer Referral Program,58,11,8,7,4,19.58,5795.45
2025-01-06,Referral,Partner Program,33,5,4,2,0,16.18,0.0
2025-01-07,Direct,Direct/Brand,176,9,1,1,1,0.0,1009.33
2025-01-07,Email,Drip Nurture,101,18,11,5,1,1.91,1771.46
2025-01-07,Email,Newsletter,168,10,4,2,0,3.47,0.0
2025-01-07,Organic Search,Blog SEO,386,17,10,5,1,19.29,1353.52
2025-01-07,Organic Search,Product Pages SEO,233,16,8,6,2,11.3,3544.65
2025-01-07,Paid Search,Brand Keywords,124,20,11,8,2,232.51,3493.61
2025-01-07,Paid Search,Competitor Keywords,78,4,1,0,0,244.77,0.0
2025-01-07,Paid Search,Generic Keywords,267,18,9,6,3,733.74,3965.64
2025-01-07,Paid Social,Facebook Prospecting,439,16,5,1,0,291.25,0.0
2025-01-07,Paid Social,Instagram Prospecting,308,10,2,0,0,222.52,0.0
2025-01-07,Paid Social,LinkedIn ABM,80,11,6,5,1,377.14,3266.53
2025-01-07,Referral,Customer Referral Program,50,18,11,10,6,14.58,10101.61
2025-01-07,Referral,Partner Program,32,3,1,0,0,17.36,0.0
2025-01-08,Direct,Direct/Brand,168,11,1,0,0,0.0,0.0
2025-01-08,Email,Drip Nurture,87,20,9,6,2,1.74,2994.32
2025-01-08,Email,Newsletter,165,13,8,3,1,3.17,1342.83
2025-01-08,Organic Search,Blog SEO,342,22,5,3,0,15.37,0.0
2025-01-08,Organic Search,Product Pages SEO,209,15,6,3,1,10.67,1720.44
2025-01-08,Paid Search,Brand Keywords,99,13,5,1,0,192.17,0.0
2025-01-08,Paid Search,Competitor Keywords,86,4,1,1,1,273.46,1152.07
2025-01-08,Paid Search,Generic Keywords,279,16,10,4,0,693.27,0.0
2025-01-08,Paid Social,Facebook Prospecting,406,14,4,2,0,294.05,0.0
2025-01-08,Paid Social,Instagram Prospecting,319,5,1,0,0,232.05,0.0
2025-01-08,Paid Social,LinkedIn ABM,79,4,0,0,0,315.34,0.0
2025-01-08,Referral,Customer Referral Program,45,17,12,8,4,14.31,5875.43
2025-01-08,Referral,Partner Program,33,4,2,2,2,17.2,4039.8
2025-01-09,Direct,Direct/Brand,185,8,6,3,1,0.0,1571.41
2025-01-09,Email,Drip Nurture,96,6,4,3,0,1.91,0.0
2025-01-09,Email,Newsletter,135,14,8,5,1,2.91,1578.48
